customer_id,campaign_id,day,month,duration,contact,campaign,previous,poutcome,pdays,balance,housing,loan,target
6850552a72de30a0875ce3d06ea8f28b,1,5,may,261,unknown,1,0,unknown,-1,2143,yes,no,0
489ca6d4c9bd8c52603def663d05c1d7,1,5,may,151,unknown,1,0,unknown,-1,29,yes,no,0
086b4db2b11aaa56a16d909040167c3d,1,5,may,76,unknown,1,0,unknown,-1,2,yes,yes,0
00fdea0f0c9670a1de6943a61629db37,1,5,may,92,unknown,1,0,unknown,-1,1506,yes,no,0
d8da9242e410696bf4f0001c4b8677f0,1,5,may,198,unknown,1,0,unknown,-1,1,no,no,0
6699c2ec1bb68dc1a3a920c8da40e5cc,1,5,may,139,unknown,1,0,unknown,-1,231,yes,no,0
564e88333531f32549d98c65115d6eb2,1,5,may,217,unknown,1,0,unknown,-1,447,yes,yes,0
0cc6db3a8744fced0276525ea935e3df,1,5,may,380,unknown,1,0,unknown,-1,2,yes,no,0
9353ec3282b446bb95542bca8d2a074a,1,5,may,50,unknown,1,0,unknown,-1,121,yes,no,0
3c69dab93c2d897b85dc190c00216438,1,5,may,55,unknown,1,0,unknown,-1,593,yes,no,0
11486351e6620ba06086968d854757c4,1,5,may,222,unknown,1,0,unknown,-1,270,yes,no,0
18652baaba2aed67195c836be8d47f7e,1,5,may,137,unknown,1,0,unknown,-1,390,yes,no,0
f35e2c1a136fb005c4cf58360719b233,1,5,may,517,unknown,1,0,unknown,-1,6,yes,no,0
b81d78e4b10a55ddee36c971d45ea606,1,5,may,71,unknown,1,0,unknown,-1,71,yes,no,0
eee3209ccef42139c07ec623172a1d07,1,5,may,174,unknown,1,0,unknown,-1,162,yes,no,0
9e3a77f2c5279e23f59745f215a1110d,1,5,may,353,unknown,1,0,unknown,-1,229,yes,no,0
09b43aed46f06ce6dbd8fcf1ec65b390,1,5,may,98,unknown,1,0,unknown,-1,13,yes,no,0
65ddc4232303d517cd55327b2b2de250,1,5,may,38,unknown,1,0,unknown,-1,52,yes,no,0
5b2ed41addc5e027a6e656af24e3d320,1,5,may,219,unknown,1,0,unknown,-1,60,yes,no,0
c4bb53b64a1d8888cbc75ffc5725963a,1,5,may,54,unknown,1,0,unknown,-1,0,yes,no,0
7de7618c9295f6a4a9e8b1bc47b7b5e0,1,5,may,262,unknown,1,0,unknown,-1,723,yes,yes,0
5be9b62a963d9342984fc5b51e366527,1,5,may,164,unknown,1,0,unknown,-1,779,yes,no,0
55b382ab43566dfa9d2b0fb14c23a3be,1,5,may,160,unknown,1,0,unknown,-1,23,yes,yes,0
9537b5ed6ebaccf65fb4b0d0b5176098,1,5,may,342,unknown,1,0,unknown,-1,50,yes,no,0
792b3b6e6685dd8588f1f9ab7b0a4f51,1,5,may,181,unknown,1,0,unknown,-1,0,yes,yes,0
9f943832eae21523c4c2c94758b9e4e6,1,5,may,172,unknown,1,0,unknown,-1,-372,yes,no,0
4cb075fd219d350046926c424b60d05b,1,5,may,296,unknown,1,0,unknown,-1,255,yes,no,0
ab90cd31bbfa0e26ff33b9b3860651c3,1,5,may,127,unknown,1,0,unknown,-1,113,yes,yes,0
b28b40e56ae5935103f868c52809d275,2,5,may,255,unknown,2,0,unknown,-1,-246,yes,no,0
7368c11549b193636de436e297f394c3,1,5,may,348,unknown,1,0,unknown,-1,265,yes,yes,0
e04618e8e06d3ffa2ce3686c908a82f3,1,5,may,225,unknown,1,0,unknown,-1,839,no,yes,0
b8a2b25ff8d1114de054558b7d1f5c6e,1,5,may,230,unknown,1,0,unknown,-1,378,yes,no,0
a665651fa863d04a89a475c133b700c9,1,5,may,208,unknown,1,0,unknown,-1,39,yes,yes,0
61892dedee6fa72826b0c0e5b555e6ca,1,5,may,226,unknown,1,0,unknown,-1,0,yes,no,0
ed18e6f890fc0e35e43950cb1322e971,1,5,may,336,unknown,1,0,unknown,-1,10635,yes,no,0
a67fc0e0b8806887b7dc60753cabbe7f,1,5,may,242,unknown,1,0,unknown,-1,63,yes,no,0
bfb43224dcbdf524b3023598d98e5625,1,5,may,365,unknown,1,0,unknown,-1,-7,yes,no,0
b2af61e3b18011d5d88db59ee9b69022,1,5,may,1666,unknown,1,0,unknown,-1,-3,no,no,0
e0cec8ab7c6768acc06c363aef6f71c6,1,5,may,577,unknown,1,0,unknown,-1,506,yes,no,0
e5deceafb0d2891e2a1c03d757743d0a,1,5,may,137,unknown,1,0,unknown,-1,0,yes,no,0
ba8fee750a24815902b6b5958b3c6e7a,1,5,may,160,unknown,1,0,unknown,-1,2586,yes,no,0
8b7b58076d17cca6e18b42dfb954385f,2,5,may,180,unknown,2,0,unknown,-1,49,yes,no,0
05cb1321aa936b6f2f9957c67d5e53f1,1,5,may,22,unknown,1,0,unknown,-1,104,yes,no,0
820e97bd2f6b07acd9b7065372746f44,1,5,may,1492,unknown,1,0,unknown,-1,529,yes,no,0
19be37d2c1845e4efd18ca8f037861a5,1,5,may,616,unknown,1,0,unknown,-1,96,yes,no,0
42efe61ef2f372ae252ccfae54aebf1c,1,5,may,242,unknown,1,0,unknown,-1,-171,yes,no,0
d78ea79c488ea58789d1892af3c87ff0,1,5,may,355,unknown,1,0,unknown,-1,-364,yes,no,0
2b5b8c3d36dc82c975407e9568c6e540,2,5,may,225,unknown,2,0,unknown,-1,0,yes,no,0
f5d99c314a7c006733e37a60c00f9eba,1,5,may,160,unknown,1,0,unknown,-1,0,no,no,0
1ad30c6479e125abcce1fad6bdb146a7,1,5,may,363,unknown,1,0,unknown,-1,0,yes,no,0
5fe2a734a506e64877fad24e34234e34,1,5,may,266,unknown,1,0,unknown,-1,1291,yes,no,0
